Title,Price,Rating,Result Type,Image URL,Product Link
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",₹43811,4.1,Organic,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-MSOffice-82R400BRIN-Integrated-Graphics/dp/B09MM58Y7Q
"acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",₹39890,3.4,Organic,https://m.media-amazon.com/images/I/61+6C077NmL._AC_UY218_.jpg,https://www.amazon.in/Celeron-LPDDR4X-39-62cm-Windows-A325-45/dp/B0FF4QBNWM
"Dell Inspiron 15 DC15250 Laptop (Intel Core 3-100U, 8GB DDR5 RAM, 512GB SSD, 15.6"" Full HD Display, Windows 11 Home, MS Office 2024 + Microsoft 365, Carbon Black, 1 Year NBD Warranty)",₹45750,N/A,Organic,https://m.media-amazon.com/images/I/71ZBa5+qu4L._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-DC15250-Microsoft-Warranty/dp/B0GS2VW9MN
"HP 14, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1180TU, FHD Camera, Backlit Laptop",₹83490,3.7,Ad,https://m.media-amazon.com/images/I/81XstkrCA8L._AC_UY218_.jpg,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Office24-ep1180TU/dp/B0G2BHDDB8/
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.38kg, E1404FA-NK5541WS, AMD Radeon iGPU, 42WHrs, M365 Basic (1Year)* Laptop",₹49990,3.8,Organic,https://m.media-amazon.com/images/I/71VIMPK2QKL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Vivobook-Radeon-Windows-E1404FA-NK5541WS/dp/B0DTYPRFVM
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10",₹38790,4.0,Organic,https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,https://www.amazon.in/HP-Notebook-15-6-inch-Anti-Glare-Graphics/dp/B0DV984J97
Thomson 14.1 inch 3k High Resolution Display IN-K14C Intel celeron N5100 Processor (Window 11/8 GB RAM LPDDR4 / 256 GB SSD/ 6000mAH Battery/Numeric Touchpad) Slim and Lightweight Notebook,₹23990,3.5,Organic,https://m.media-amazon.com/images/I/71ZK6gQOaRL._AC_UY218_.jpg,https://www.amazon.in/Thomson-Resolution-Touchpad-Lightweight-Notebook/dp/B0DYVTLP29
Ultimus Pentium Quad Core Laptop|Student & Office Work Laptop|Dual Storage SSD Expandable~1TB|1.2Kg|180° Hinge|Win 11 Home|8GB RAM 256GB|HDMI SD Card Slot | ‎Dual Speaker|Space Gray,₹17990,1.5,Organic,https://m.media-amazon.com/images/I/71XTn2IVpFL._AC_UY218_.jpg,https://www.amazon.in/Ultimus-Pentium-Student-Storage-Expandable-1TB/dp/B0FL7BN8ZV
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg",₹49990,4.1,Organic,https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,https://www.amazon.in/Dell-Previously-Inspiron-Processor-Display/dp/B0BQJ68HHC
"acer Aspire Lite, AMD Ryzen 7 7730U, Office 2024 + M365 Basic, 16 GB RAM, 512 GB SSD, Full HD IPS,15.6""/39.62 cm, Windows 11 Home, Steel Grey, 1.59 KG, AL15-41, Thin and Light Laptop",₹52990,4.1,Organic,https://m.media-amazon.com/images/I/712x87tz2yL._AC_UY218_.jpg,https://www.amazon.in/Aspire-7-7730U-Windows-Office-AL15-41/dp/B0FCXZ85YX
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",₹48500,4.0,Organic,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1
"acer Aspire Lite, AMD Ryzen 5 7430U Processor,Office 2024 + M365 Basic, 16 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Grey, 1.59 kg, AL15-41, Thin and Light Laptop",₹47990,4.0,Organic,https://m.media-amazon.com/images/I/71CgSaE-qeL._AC_UY218_.jpg,https://www.amazon.in/acer-Aspire-Processor-Windows-AL15-41/dp/B0F8RCM49Y
"Lenovo LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050A 4GB (12GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00JXIN AI Gaming Laptop",₹66990,4.3,Organic,https://m.media-amazon.com/images/I/61aXoUYHNcL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-7235HS-Refresh-Windows-83JC00JXIN/dp/B0GCZW2CKC
"HP Professional 14 (2026), Intel (i5 14th Gen) Core 5 120U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Business Laptop/14.0"" FHD/Backlit + FingerPrint/Silver/Copilot Key/1.4kg/MS Office",₹61750,N/A,Organic,https://m.media-amazon.com/images/I/71VBfzaHWnL._AC_UY218_.jpg,https://www.amazon.in/HP-Professional-14-Intel-14th/dp/B0GQ1513LK
"acer Aspire Lite 12th Gen Intel Core i5-12450H, Office 2024 + M365 Basic, 16GB RAM/512GB SSD, 39.62cm(15.6"") FHD IPS Display Win11H, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop",₹52990,4.0,Organic,https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,https://www.amazon.in/Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX
Ultimus Pentium Quad Core Laptop|Student & Office Work Laptop|Dual Storage eMMC+SSD Expandable~1TB|1.2Kg|180° Hinge|Win 11 Home|4GB RAM 128GB|HDMI SD Card Slot | ‎Dual Speaker|Cloud Silver,₹13990,3.1,Organic,https://m.media-amazon.com/images/I/61rutN1uR6L._AC_UY218_.jpg,https://www.amazon.in/Ultimus-Pentium-Student-Storage-Expandable-1TB/dp/B0FKM5KW4R
"Primebook 2 Max 2026 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",₹28490,4.3,Organic,https://m.media-amazon.com/images/I/51JTBldTCXL._AC_UY218_.jpg,https://www.amazon.in/Primebook-Storage-15-6-Inch-MediaTek-Keyboard/dp/B0FFMQB3KL
"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN",₹105990,5.0,Organic,https://m.media-amazon.com/images/I/81xbSMHZ0UL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-WUXGA-OLED-400Nits-Speakers-83CV00D3IN/dp/B0FK59XW2C
"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg), 82XQ00XDIN",₹50990,4.1,Ad,https://m.media-amazon.com/images/I/71TpJsdzvCL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Ideapad-Backlit-Keyboard-82XQ008VIN/dp/B0CD4BQ4SF/
